secid,date,days,forward_price,strike_price,premium,impl_volatility,cp_flag,ticker,index_flag
107929,20020201,30,32.220001,0,0,-99.989998,C,NGG,0
107929,20020201,60,32.272301,0,0,-99.989998,C,NGG,0
107929,20020201,91,32.328712,0,0,-99.989998,C,NGG,0
107929,20020201,122,31.92894,0,0,-99.989998,C,NGG,0
107929,20020201,152,31.988979,0,0,-99.989998,C,NGG,0
107929,20020201,182,32.052559,0,0,-99.989998,C,NGG,0
107929,20020201,30,32.220001,0,0,-99.989998,P,NGG,0
107929,20020201,60,32.272301,0,0,-99.989998,P,NGG,0
107929,20020201,91,32.328712,0,0,-99.989998,P,NGG,0
107929,20020201,122,31.92894,0,0,-99.989998,P,NGG,0
107929,20020201,152,31.988979,0,0,-99.989998,P,NGG,0
107929,20020201,182,32.052559,0,0,-99.989998,P,NGG,0
107929,20020204,30,32.510418,0,0,-99.989998,C,NGG,0
107929,20020204,60,32.562981,0,0,-99.989998,C,NGG,0
107929,20020204,91,32.619305,0,0,-99.989998,C,NGG,0
107929,20020204,122,32.218979,0,0,-99.989998,C,NGG,0
107929,20020204,152,32.278286,0,0,-99.989998,C,NGG,0
107929,20020204,182,32.341251,0,0,-99.989998,C,NGG,0
107929,20020204,30,32.510418,0,0,-99.989998,P,NGG,0
107929,20020204,60,32.562981,0,0,-99.989998,P,NGG,0
107929,20020204,91,32.619305,0,0,-99.989998,P,NGG,0
107929,20020204,122,32.218979,0,0,-99.989998,P,NGG,0
107929,20020204,152,32.278286,0,0,-99.989998,P,NGG,0
107929,20020204,182,32.341251,0,0,-99.989998,P,NGG,0
107929,20020205,30,32.400303,0,0,-99.989998,C,NGG,0
107929,20020205,60,32.452679,0,0,-99.989998,C,NGG,0
107929,20020205,91,32.508827,0,0,-99.989998,C,NGG,0
107929,20020205,122,32.108379,0,0,-99.989998,C,NGG,0
107929,20020205,152,32.167526,0,0,-99.989998,C,NGG,0
107929,20020205,182,32.230045,0,0,-99.989998,C,NGG,0
107929,20020205,30,32.400303,0,0,-99.989998,P,NGG,0
107929,20020205,60,32.452679,0,0,-99.989998,P,NGG,0
107929,20020205,91,32.508827,0,0,-99.989998,P,NGG,0
107929,20020205,122,32.108379,0,0,-99.989998,P,NGG,0
107929,20020205,152,32.167526,0,0,-99.989998,P,NGG,0
107929,20020205,182,32.230045,0,0,-99.989998,P,NGG,0
107929,20020206,30,32.259975,0,0,-99.989998,C,NGG,0
107929,20020206,60,32.311886,0,0,-99.989998,C,NGG,0
107929,20020206,91,32.367504,0,0,-99.989998,C,NGG,0
107929,20020206,122,31.966478,0,0,-99.989998,C,NGG,0
107929,20020206,152,32.024994,0,0,-99.989998,C,NGG,0
107929,20020206,182,32.086517,0,0,-99.989998,C,NGG,0
107929,20020206,30,32.259975,0,0,-99.989998,P,NGG,0
107929,20020206,60,32.311886,0,0,-99.989998,P,NGG,0
107929,20020206,91,32.367504,0,0,-99.989998,P,NGG,0
107929,20020206,122,31.966478,0,0,-99.989998,P,NGG,0
107929,20020206,152,32.024994,0,0,-99.989998,P,NGG,0
107929,20020206,182,32.086517,0,0,-99.989998,P,NGG,0
107929,20020207,30,32.280148,0,0,-99.989998,C,NGG,0
107929,20020207,60,32.332401,0,0,-99.989998,C,NGG,0
107929,20020207,91,32.388329,0,0,-99.989998,C,NGG,0
107929,20020207,122,31.987751,0,0,-99.989998,C,NGG,0
107929,20020207,152,32.046741,0,0,-99.989998,C,NGG,0
107929,20020207,182,32.108498,0,0,-99.989998,C,NGG,0
107929,20020207,30,32.280148,0,0,-99.989998,P,NGG,0
107929,20020207,60,32.332401,0,0,-99.989998,P,NGG,0
107929,20020207,91,32.388329,0,0,-99.989998,P,NGG,0
107929,20020207,122,31.987751,0,0,-99.989998,P,NGG,0
107929,20020207,152,32.046741,0,0,-99.989998,P,NGG,0
107929,20020207,182,32.108498,0,0,-99.989998,P,NGG,0
107929,20020208,30,32.650574,0,0,-99.989998,C,NGG,0
107929,20020208,60,32.7029,0,0,-99.989998,C,NGG,0
107929,20020208,91,32.758873,0,0,-99.989998,C,NGG,0
107929,20020208,122,32.357944,0,0,-99.989998,C,NGG,0
107929,20020208,152,32.416214,0,0,-99.989998,C,NGG,0
107929,20020208,182,32.477135,0,0,-99.989998,C,NGG,0
107929,20020208,30,32.650574,0,0,-99.989998,P,NGG,0
107929,20020208,60,32.7029,0,0,-99.989998,P,NGG,0
107929,20020208,91,32.758873,0,0,-99.989998,P,NGG,0
107929,20020208,122,32.357944,0,0,-99.989998,P,NGG,0
107929,20020208,152,32.416214,0,0,-99.989998,P,NGG,0
107929,20020208,182,32.477135,0,0,-99.989998,P,NGG,0
107929,20020211,30,33.051365,0,0,-99.989998,C,NGG,0
107929,20020211,60,33.104565,0,0,-99.989998,C,NGG,0
107929,20020211,91,33.161945,0,0,-99.989998,C,NGG,0
