<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBE.MC,D,20030305,000000,3.48,3.56,3.45,3.53,14177100,0
IBE.MC,D,20030306,000000,3.53,3.57,3.50,3.54,15240100,0
IBE.MC,D,20030307,000000,3.52,3.57,3.51,3.56,17748700,0
IBE.MC,D,20030310,000000,3.74,3.74,3.60,3.60,62946400,0
IBE.MC,D,20030311,000000,3.62,3.65,3.54,3.59,42418100,0
IBE.MC,D,20030312,000000,3.62,3.70,3.59,3.62,35093500,0
IBE.MC,D,20030313,000000,3.56,3.74,3.56,3.74,38755200,0
IBE.MC,D,20030314,000000,3.74,3.74,3.65,3.71,19326100,0
IBE.MC,D,20030317,000000,3.62,3.78,3.62,3.75,22865200,0
IBE.MC,D,20030318,000000,3.76,3.79,3.70,3.71,19684100,0
IBE.MC,D,20030319,000000,3.75,3.75,3.71,3.72,9157100,0
IBE.MC,D,20030320,000000,3.70,3.72,3.68,3.68,9573800,0
