,r,betaling_pendk_stat,værdi_pendk,værdi_pendk_stat,værdi_pendk_stat_aktier,betaling_gs_stat,værdi_gs,værdi_gs_stat,værdi_gs_stat_aktier,stat_forskel
0,-1.0,8.744666550312498,8.744666550312498,-8.744666550312498,0.0,7.214349904007811,7.214349904007811,-7.214349904007811,0.0,-1.5303166463046871
1,-0.99,8.744666550312498,8.744666550312498,-8.74466621924398,3.310685185185197e-07,7.214349948007811,7.214349948007811,-7.214349582857811,3.651500000000013e-07,-1.5303166363861687
2,-0.98,8.744666550312498,8.744666550312498,-8.744661253216202,5.297096296296316e-06,7.214350608007811,7.214350608007811,-7.214344765607811,5.8424000000000205e-06,-1.530316487608392
3,-0.97,8.744666550312498,8.744666550312498,-8.744639733762499,2.6816550000000095e-05,7.214353468007811,7.214353468007811,-7.214323890857811,2.9577150000000104e-05,-1.5303158429046881
4,-0.96,8.744666550312498,8.744666550312498,-8.744581796771758,8.475354074074105e-05,7.2143611680078115,7.2143611680078115,-7.214267689607811,9.347840000000033e-05,-1.5303141071639468
5,-0.95,8.744666550312498,8.744666550312498,-8.744459632488423,0.00020691782407407483,7.214377404007811,7.214377404007811,-7.214149185257811,0.0002282187500000008,-1.5303104472306126
6,-0.94,8.744666550312498,8.744666550312498,-8.744237485512498,0.0004290648000000015,7.214406928007811,7.214406928007811,-7.213933693607811,0.00047323440000000166,-1.5303037919046867
7,-0.9299999999999999,8.744666550312498,8.744666550312498,-8.743871654799536,0.0007948955129629659,7.214455548007811,7.214455548007811,-7.21357882285781,0.0008767251500000032,-1.5302928319417255
8,-0.9199999999999999,8.744666550312498,8.744666550312498,-8.743310493660646,0.0013560566518518568,7.214530128007811,7.214530128007811,-7.213034473607811,0.0014956544000000052,-1.5302760200528347
9,-0.9099999999999999,8.744666550312498,8.744666550312498,-8.742494409762498,0.0021721405500000077,7.214638588007811,7.214638588007811,-7.2122428388578115,0.002395749150000009,-1.5302515709046869
10,-0.8999999999999999,8.744666550312498,8.744666550312498,-8.741355865127312,0.0033106851851851973,7.214789904007811,7.214789904007811,-7.211138404007811,0.003651500000000013,-1.5302174611195012
11,-0.8899999999999999,8.744666550312498,8.744666550312498,-8.73981937613287,0.004847174179629647,7.2149941080078115,7.2149941080078115,-7.209647946857811,0.005346161150000019,-1.5301714292750583
12,-0.8799999999999999,8.744666550312498,8.744666550312498,-8.737801513512498,0.006865036800000024,7.215262288007811,7.215262288007811,-7.207690537607811,0.0075717504000000265,-1.5301109759046865
13,-0.8699999999999999,8.744666550312498,8.744666550312498,-8.73521090235509,0.009455647957407443,7.2156065880078115,7.2156065880078115,-7.205177538857812,0.010429049150000036,-1.530033363497279
14,-0.8599999999999999,8.744666550312498,8.744666550312498,-8.73194822210509,0.012718328207407455,7.216040208007811,7.216040208007811,-7.202012605607812,0.01402760240000005,-1.529935616497279
15,-0.8499999999999999,8.744666550312498,8.744666550312498,-8.727906206562498,0.01676034375000006,7.216577404007811,7.216577404007811,-7.198091685257811,0.018485718750000064,-1.5298145213046865
16,-0.8399999999999999,8.744666550312498,8.744666550312498,-8.722969643882868,0.02169690642962971,7.217233488007811,7.217233488007811,-7.193303017607811,0.023930470400000084,-1.5296666262750565
17,-0.8299999999999998,8.744666550312498,8.744666550312498,-8.717015376577313,0.02765117373518529,7.218024828007811,7.218024828007811,-7.187527134857811,0.030497693150000112,-1.529488241719502
18,-0.8199999999999998,8.744666550312498,8.744666550312498,-8.709912301512498,0.03475424880000012,7.218968848007811,7.218968848007811,-7.180636861607811,0.03833198640000014,-1.529275439904687
19,-0.8099999999999998,8.744666550312498,8.744666550312498,-8.701521369910646,0.043145180401852015,7.220084028007811,7.220084028007811,-7.172497314857811,0.047586713150000175,-1.529024055052835
20,-0.7999999999999998,8.744666550312498,8.744666550312498,-8.691695587349535,0.05297096296296316,7.221389904007811,7.221389904007811,-7.162965904007811,0.058424000000000205,-1.5287296833417248
21,-0.7899999999999998,8.744666550312498,8.744666550312498,-8.680280013762498,0.06438653655000023,7.222907068007811,7.222907068007811,-7.151892330857811,0.07101473715000026,-1.5283876829046878
22,-0.7799999999999998,8.744666550312498,8.744666550312498,-8.667111763438424,0.07755478687407436,7.224657168007811,7.224657168007811,-7.13911858960781,0.0855385784000003,-1.5279931738306134
23,-0.7699999999999998,8.744666550312498,8.744666550312498,-8.652020005021757,0.09264654529074108,7.226662908007811,7.226662908007811,-7.124478966857811,0.10218394115000036,-1.527541038163947
24,-0.7599999999999998,8.744666550312498,8.744666550312498,-8.634825961512497,0.10984058880000039,7.228948048007811,7.228948048007811,-7.107800041607811,0.12114800640000042,-1.5270259199046867
25,-0.7499999999999998,8.744666550312498,8.744666550312498,-8.615342910266202,0.12932364004629676,7.2315374040078115,7.2315374040078115,-7.088900685257811,0.1426367187500005,-1.5264422250083909
26,-0.7399999999999998,8.744666550312498,8.744666550312498,-8.593376182993978,0.15129036731851908,7.234456848007811,7.234456848007811,-7.067592061607811,0.16686478640000058,-1.5257841213861676
27,-0.7299999999999998,8.744666550312498,8.744666550312498,-8.568723165762497,0.1759433845500006,7.237733308007812,7.237733308007812,-7.043677626857811,0.1940556811500007,-1.5250455389046866
28,-0.7199999999999998,8.744666550312498,8.744666550312498,-8.541173298993979,0.20349325131851928,7.241394768007812,7.241394768007812,-7.016953129607811,0.2244416384000008,-1.524220169386168
29,-0.7099999999999997,8.744666550312498,8.744666550312498,-8.5105080774662,0.23415847284629715,7.245470268007812,7.245470268007812,-6.987206610857811,0.25826365715000094,-1.5233014666083893
